                  epoch,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 6.3892,                0.34785,                0.38082,                0.28705,                 0.0748,                 4.2216,             7.5669e-05,             7.5669e-05,             7.5669e-05
                     75,                 6.3825,                0.33985,                0.38277,                0.28795,                0.07585,                 4.2191,             7.5336e-05,             7.5336e-05,             7.5336e-05
                     76,                 6.3718,                0.35918,                 0.3853,                0.29328,                0.07659,                 4.2171,             7.5002e-05,             7.5002e-05,             7.5002e-05
                     77,                 6.3768,                0.35048,                0.38357,                0.29885,                0.07883,                 4.1951,             7.4669e-05,             7.4669e-05,             7.4669e-05
                     78,                 6.3638,                0.37809,                0.37657,                0.30133,                0.07909,                 4.2074,             7.4336e-05,             7.4336e-05,             7.4336e-05
                     79,                 6.3349,                0.36591,                0.38876,                0.30148,                0.07879,                 4.1885,             7.4003e-05,             7.4003e-05,             7.4003e-05
                     80,                 6.3363,                0.36899,                0.37076,                0.29966,                0.07813,                 4.1997,             7.3669e-05,             7.3669e-05,             7.3669e-05
                     81,                 6.3328,                0.35765,                0.38163,                0.29517,                 0.0783,                 4.1832,             7.3336e-05,             7.3336e-05,             7.3336e-05
                     82,                 6.3166,                0.37367,                0.37075,                0.30277,                0.07968,                  4.171,             7.3003e-05,             7.3003e-05,             7.3003e-05
                     83,                 6.3099,                0.36734,                0.38718,                0.30276,                0.07955,                 4.1631,             7.2669e-05,             7.2669e-05,             7.2669e-05
                     84,                 6.3111,                0.37871,                0.37311,                0.30818,                0.08034,                 4.1567,             7.2336e-05,             7.2336e-05,             7.2336e-05
                     85,                  6.296,                  0.359,                0.39038,                0.29941,                0.07851,                 4.1524,             7.2003e-05,             7.2003e-05,             7.2003e-05
                     86,                 6.3199,                0.36649,                0.38133,                0.30602,                0.08118,                 4.1504,              7.167e-05,              7.167e-05,              7.167e-05
                     87,                 6.3188,                  0.359,                0.37723,                0.29975,                0.07915,                 4.1675,             7.1336e-05,             7.1336e-05,             7.1336e-05
                     88,                 6.2953,                0.36026,                0.39047,                 0.3025,                0.07959,                  4.133,             7.1003e-05,             7.1003e-05,             7.1003e-05
                     89,                 6.2734,                0.37097,                0.38665,                0.31693,                0.08367,                 4.1416,              7.067e-05,              7.067e-05,              7.067e-05
                     90,                 6.2655,                0.37434,                0.37768,                0.30356,                0.08046,                 4.1375,             7.0336e-05,             7.0336e-05,             7.0336e-05
                     91,                 6.2758,                0.35691,                0.39264,                0.30073,                0.07924,                 4.1459,             7.0003e-05,             7.0003e-05,             7.0003e-05
                     92,                 6.2777,                 0.3665,                0.38563,                0.30239,                0.08089,                 4.1379,              6.967e-05,              6.967e-05,              6.967e-05
                     93,                 6.2584,                0.36216,                0.38455,                 0.3022,                0.08008,                 4.1451,             6.9336e-05,             6.9336e-05,             6.9336e-05
                     94,                 6.2865,                0.36942,                0.38553,                0.30932,                0.08228,                 4.1205,             6.9003e-05,             6.9003e-05,             6.9003e-05
                     95,                  6.252,                0.37103,                 0.3911,                 0.3087,                0.08076,                 4.1244,              6.867e-05,              6.867e-05,              6.867e-05
                     96,                  6.241,                0.36606,                0.39162,                0.30862,                0.08137,                 4.1186,             6.8336e-05,             6.8336e-05,             6.8336e-05
                     97,                 6.2536,                0.36197,                0.39949,                0.30409,                0.08149,                 4.1235,             6.8003e-05,             6.8003e-05,             6.8003e-05
                     98,                 6.2306,                0.37685,                0.38416,                 0.3047,                0.08099,                 4.1252,              6.767e-05,              6.767e-05,              6.767e-05
                     99,                 6.2314,                0.37811,                0.38377,                0.31165,                0.08262,                 4.1129,             6.7337e-05,             6.7337e-05,             6.7337e-05
                    100,                 6.2285,                 0.3745,                0.37272,                0.30709,                0.08229,                 4.1148,             6.7003e-05,             6.7003e-05,             6.7003e-05
                    101,                 6.2321,                0.35957,                0.39387,                0.30354,                0.08184,                 4.1022,              6.667e-05,              6.667e-05,              6.667e-05
                    102,                 6.2074,                0.35533,                0.39037,                0.30017,                0.08055,                 4.1051,             6.6337e-05,             6.6337e-05,             6.6337e-05
                    103,                 6.2097,                0.37451,                0.37776,                0.30873,                0.08268,                  4.117,             6.6003e-05,             6.6003e-05,             6.6003e-05
                    104,                 6.2222,                0.36978,                0.39315,                 0.3122,                0.08308,                 4.0931,              6.567e-05,              6.567e-05,              6.567e-05
                    105,                 6.2018,                0.37046,                0.39102,                0.31086,                0.08242,                 4.1084,             6.5337e-05,             6.5337e-05,             6.5337e-05
                    106,                 6.1903,                0.37735,                0.39497,                0.31204,                0.08202,                 4.0838,             6.5004e-05,             6.5004e-05,             6.5004e-05
                    107,                 6.1943,                0.35865,                0.39713,                0.31008,                0.08247,                 4.0878,              6.467e-05,              6.467e-05,              6.467e-05
                    108,                 6.1898,                0.37156,                0.39811,                0.31327,                0.08327,                 4.0907,             6.4337e-05,             6.4337e-05,             6.4337e-05
                    109,                 6.1821,                0.36434,                0.40506,                0.31055,                0.08306,                 4.0893,             6.4004e-05,             6.4004e-05,             6.4004e-05
                    110,                 6.1848,                0.36767,                0.38152,                  0.307,                0.08241,                 4.0906,              6.367e-05,              6.367e-05,              6.367e-05
                    111,                 6.1978,                0.36607,                0.39214,                0.30887,                0.08257,                 4.0894,             6.3337e-05,             6.3337e-05,             6.3337e-05
                    112,                 6.1636,                  0.371,                0.37741,                0.31158,                 0.0832,                 4.0822,             6.3004e-05,             6.3004e-05,             6.3004e-05
                    113,                 6.1717,                0.37131,                0.38283,                0.30791,                 0.0825,                 4.0758,              6.267e-05,              6.267e-05,              6.267e-05
                    114,                 6.1545,                0.36874,                0.40194,                0.31199,                0.08466,                 4.0828,             6.2337e-05,             6.2337e-05,             6.2337e-05
                    115,                 6.1796,                0.36779,                0.39088,                0.30562,                0.08149,                 4.0762,             6.2004e-05,             6.2004e-05,             6.2004e-05
                    116,                 6.1527,                0.35679,                0.39471,                0.30897,                0.08311,                 4.0623,             6.1671e-05,             6.1671e-05,             6.1671e-05
                    117,                 6.1687,                0.35617,                0.39461,                0.30531,                0.08238,                  4.075,             6.1337e-05,             6.1337e-05,             6.1337e-05
                    118,                 6.1724,                0.36412,                 0.3782,                0.30835,                0.08282,                 4.0537,             6.1004e-05,             6.1004e-05,             6.1004e-05
                    119,                 6.1492,                0.36578,                0.40581,                0.31179,                0.08365,                 4.0526,             6.0671e-05,             6.0671e-05,             6.0671e-05
                    120,                 6.1562,                0.37088,                0.40308,                0.31346,                0.08397,                 4.0759,             6.0337e-05,             6.0337e-05,             6.0337e-05
                    121,                 6.1345,                0.37681,                0.39824,                0.31837,                0.08475,                  4.047,             6.0004e-05,             6.0004e-05,             6.0004e-05
                    122,                 6.1221,                0.38328,                0.39541,                0.31981,                0.08351,                 4.0379,             5.9671e-05,             5.9671e-05,             5.9671e-05
                    123,                 6.1457,                0.37733,                0.39309,                0.31295,                0.08247,                 4.0564,             5.9337e-05,             5.9337e-05,             5.9337e-05
                    124,                 6.1189,                0.37488,                0.40432,                0.31517,                0.08394,                 4.0376,             5.9004e-05,             5.9004e-05,             5.9004e-05
                    125,                 6.1231,                0.36811,                0.39749,                0.31186,                0.08306,                 4.0464,             5.8671e-05,             5.8671e-05,             5.8671e-05
                    126,                 6.1253,                0.36856,                0.39747,                0.31017,                0.08415,                 4.0389,             5.8338e-05,             5.8338e-05,             5.8338e-05
                    127,                 6.1283,                0.36632,                0.40828,                0.31997,                0.08486,                 4.0405,             5.8004e-05,             5.8004e-05,             5.8004e-05
                    128,                 6.1111,                0.37004,                0.41038,                0.31389,                0.08415,                 4.0272,             5.7671e-05,             5.7671e-05,             5.7671e-05
                    129,                 6.1034,                0.36763,                0.40705,                0.31357,                0.08412,                 4.0336,             5.7338e-05,             5.7338e-05,             5.7338e-05
                    130,                 6.1153,                0.36762,                0.41277,                0.32033,                0.08547,                 4.0314,             5.7004e-05,             5.7004e-05,             5.7004e-05
                    131,                 6.0975,                0.36524,                0.41026,                0.31815,                0.08515,                 4.0162,             5.6671e-05,             5.6671e-05,             5.6671e-05
                    132,                 6.1108,                0.35908,                0.42046,                0.31916,                0.08469,                 4.0065,             5.6338e-05,             5.6338e-05,             5.6338e-05
                    133,                 6.0929,                0.37153,                0.40963,                0.31457,                0.08423,                 4.0395,             5.6004e-05,             5.6004e-05,             5.6004e-05
                    134,                 6.0921,                0.38155,                0.40885,                0.31011,                0.08306,                 4.0304,             5.5671e-05,             5.5671e-05,             5.5671e-05
