                  epoch,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.5696,                0.95309,                0.95835,                0.98684,                0.75868,                0.71362,             5.2088e-05,             5.2088e-05,             5.2088e-05
                     71,                 1.5623,                0.96675,                0.94415,                0.98524,                 0.7563,                0.72347,             5.1394e-05,             5.1394e-05,             5.1394e-05
                     72,                  1.539,                0.94872,                0.95971,                0.98509,                0.75705,                0.71562,             5.0699e-05,             5.0699e-05,             5.0699e-05
                     73,                   1.56,                0.95115,                0.96073,                0.98625,                0.75845,                0.71153,             5.0005e-05,             5.0005e-05,             5.0005e-05
                     74,                 1.5177,                0.95239,                0.95722,                0.98589,                0.76055,                0.70433,             4.9311e-05,             4.9311e-05,             4.9311e-05
                     75,                 1.5406,                0.95745,                0.95278,                0.98597,                 0.7575,                0.70762,             4.8616e-05,             4.8616e-05,             4.8616e-05
                     76,                  1.536,                0.95957,                  0.956,                0.98632,                0.75936,                0.70698,             4.7922e-05,             4.7922e-05,             4.7922e-05
                     77,                 1.5397,                0.95148,                0.95778,                0.98642,                0.75552,                0.71445,             4.7228e-05,             4.7228e-05,             4.7228e-05
                     78,                 1.4977,                0.95022,                0.95567,                 0.9855,                0.75848,                0.70809,             4.6533e-05,             4.6533e-05,             4.6533e-05
                     79,                 1.5457,                0.96596,                0.95028,                0.98616,                 0.7585,                0.70306,             4.5839e-05,             4.5839e-05,             4.5839e-05
                     80,                 1.5117,                 0.9642,                0.94446,                0.98518,                0.75232,                0.71455,             4.5144e-05,             4.5144e-05,             4.5144e-05
                     81,                 1.5052,                0.96276,                0.95811,                0.98753,                0.75979,                0.70081,              4.445e-05,              4.445e-05,              4.445e-05
                     82,                 1.4916,                0.96272,                 0.9544,                0.98745,                0.75785,                 0.6984,             4.3756e-05,             4.3756e-05,             4.3756e-05
                     83,                 1.5104,                0.95889,                0.95841,                 0.9874,                0.75849,                0.69931,             4.3061e-05,             4.3061e-05,             4.3061e-05
                     84,                 1.5006,                0.95738,                0.96553,                0.98794,                0.76001,                0.69203,             4.2367e-05,             4.2367e-05,             4.2367e-05
                     85,                 1.4757,                0.96309,                0.96513,                0.98808,                0.75751,                0.69143,             4.1672e-05,             4.1672e-05,             4.1672e-05
                     86,                  1.466,                0.96448,                0.95483,                0.98753,                0.75911,                0.69651,             4.0978e-05,             4.0978e-05,             4.0978e-05
                     87,                 1.4843,                0.95908,                0.96373,                0.98722,                0.75768,                0.69224,             4.0284e-05,             4.0284e-05,             4.0284e-05
                     88,                 1.4976,                0.96478,                0.95889,                0.98664,                0.75703,                0.69324,             3.9589e-05,             3.9589e-05,             3.9589e-05
                     89,                  1.472,                 0.9675,                0.96099,                0.98822,                 0.7601,                0.68567,             3.8895e-05,             3.8895e-05,             3.8895e-05
                     90,                 1.4879,                0.96672,                0.95987,                0.98622,                0.75662,                0.69346,             3.8201e-05,             3.8201e-05,             3.8201e-05
                     91,                 1.4538,                0.96902,                0.95577,                0.98665,                0.75808,                0.69253,             3.7506e-05,             3.7506e-05,             3.7506e-05
                     92,                 1.4732,                0.96387,                0.95827,                0.98793,                 0.7585,                0.69209,             3.6812e-05,             3.6812e-05,             3.6812e-05
                     93,                 1.4709,                0.96578,                0.95652,                0.98711,                 0.7561,                0.69334,             3.6118e-05,             3.6118e-05,             3.6118e-05
                     94,                 1.4635,                0.96022,                0.96446,                0.98806,                0.76041,                0.68605,             3.5423e-05,             3.5423e-05,             3.5423e-05
                     95,                 1.4363,                0.96965,                0.96014,                0.98827,                 0.7638,                0.67761,             3.4729e-05,             3.4729e-05,             3.4729e-05
                     96,                 1.4485,                 0.9637,                0.96381,                0.98751,                0.75968,                0.69007,             3.4034e-05,             3.4034e-05,             3.4034e-05
                     97,                 1.4535,                0.96556,                0.96496,                0.98737,                0.75852,                0.68818,              3.334e-05,              3.334e-05,              3.334e-05
                     98,                 1.4623,                0.95715,                0.96157,                0.98627,                0.75787,                0.69609,             3.2646e-05,             3.2646e-05,             3.2646e-05
                     99,                 1.4796,                0.96518,                 0.9574,                0.98752,                0.75907,                0.69311,             3.1951e-05,             3.1951e-05,             3.1951e-05
                    100,                 1.4577,                0.95402,                0.96635,                0.98767,                 0.7604,                0.69171,             3.1257e-05,             3.1257e-05,             3.1257e-05
                    101,                 1.4327,                0.96263,                0.95732,                0.98715,                0.75758,                0.69267,             3.0563e-05,             3.0563e-05,             3.0563e-05
                    102,                 1.4504,                0.97168,                0.95919,                0.98778,                0.75845,                0.68511,             2.9868e-05,             2.9868e-05,             2.9868e-05
                    103,                 1.4381,                0.96467,                0.95851,                0.98614,                0.75615,                0.69344,             2.9174e-05,             2.9174e-05,             2.9174e-05
