                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.2576,                0.79361,                 1.8397,                0.94246,                0.89817,                0.95571,                0.65996,                 1.1661,                0.59758,                 1.7671,               0.007756,               0.007756,               0.007756
                     70,                 1.2559,                0.79153,                 1.8327,                0.94404,                0.89437,                 0.9539,                0.65364,                 1.1758,                0.60073,                 1.7589,               0.007723,               0.007723,               0.007723
                     71,                 1.2574,                0.79455,                 1.8366,                0.94782,                0.90651,                0.95771,                0.66554,                 1.1513,                0.59322,                 1.7535,                0.00769,                0.00769,                0.00769
                     72,                 1.2493,                0.79383,                 1.8284,                0.94306,                0.89033,                0.95721,                0.67353,                 1.1251,                0.59036,                 1.7233,               0.007657,               0.007657,               0.007657
                     73,                 1.2489,                0.79543,                 1.8296,                0.94971,                0.90561,                0.95692,                0.66832,                 1.1155,                 0.5796,                 1.7045,               0.007624,               0.007624,               0.007624
                     74,                 1.2517,                0.78965,                 1.8305,                0.93359,                0.89786,                0.94942,                0.64857,                 1.1959,                0.59935,                 1.7847,               0.007591,               0.007591,               0.007591
                     75,                 1.2402,                0.77479,                 1.8192,                0.94767,                0.89838,                0.95672,                0.65982,                 1.1506,                0.59381,                 1.7439,               0.007558,               0.007558,               0.007558
                     76,                 1.2466,                0.79161,                 1.8269,                0.94743,                0.89704,                0.95772,                0.66528,                 1.1467,                0.58904,                 1.7389,               0.007525,               0.007525,               0.007525
                     77,                 1.2378,                 0.7793,                 1.8164,                0.95221,                0.90312,                0.95824,                 0.6754,                 1.1328,                0.57527,                 1.7285,               0.007492,               0.007492,               0.007492
                     78,                   1.24,                 0.7799,                 1.8122,                0.96236,                0.89493,                0.95812,                0.67009,                 1.1438,                0.56771,                 1.7411,               0.007459,               0.007459,               0.007459
                     79,                 1.2328,                0.77719,                 1.8163,                0.95746,                0.89417,                0.95423,                0.66568,                 1.1465,                0.57882,                 1.7491,               0.007426,               0.007426,               0.007426
                     80,                  1.233,                0.77047,                 1.8103,                0.95414,                0.89599,                0.95836,                0.66052,                 1.1834,                 0.5786,                 1.7903,               0.007393,               0.007393,               0.007393
                     81,                 1.2343,                0.77243,                 1.8095,                0.95686,                0.89527,                0.95628,                0.66377,                 1.1652,                0.57571,                 1.7607,                0.00736,                0.00736,                0.00736
                     82,                 1.2279,                0.76808,                 1.8009,                  0.958,                0.89853,                0.95862,                 0.6676,                 1.1484,                0.58162,                 1.7363,               0.007327,               0.007327,               0.007327
                     83,                 1.2285,                0.76646,                 1.8005,                0.96003,                0.89902,                0.95988,                0.67338,                 1.1229,                0.56376,                 1.7114,               0.007294,               0.007294,               0.007294
                     84,                 1.2155,                0.76131,                 1.7931,                0.95705,                0.90906,                0.96603,                0.68467,                 1.1026,                0.55085,                 1.6879,               0.007261,               0.007261,               0.007261
                     85,                 1.2148,                0.75678,                 1.7919,                0.94963,                0.90521,                0.96294,                0.67386,                 1.1318,                0.56433,                 1.7186,               0.007228,               0.007228,               0.007228
                     86,                 1.2207,                0.76449,                 1.7977,                0.95282,                0.91048,                0.96247,                0.67328,                 1.1342,                0.55371,                 1.7142,               0.007195,               0.007195,               0.007195
                     87,                 1.2112,                0.75664,                 1.7882,                0.95486,                0.89793,                0.96085,                0.67105,                 1.1427,                0.56078,                 1.7238,               0.007162,               0.007162,               0.007162
                     88,                 1.2096,                0.75447,                 1.7885,                0.95059,                0.90735,                0.96174,                0.67085,                 1.1555,                0.56684,                 1.7349,               0.007129,               0.007129,               0.007129
                     89,                 1.2117,                0.74977,                 1.7833,                0.95207,                0.90247,                0.95652,                 0.6754,                 1.1136,                0.55984,                 1.6999,               0.007096,               0.007096,               0.007096
                     90,                 1.2056,                0.74485,                 1.7799,                0.94782,                0.89915,                0.95873,                0.66991,                 1.1463,                  0.571,                  1.738,               0.007063,               0.007063,               0.007063
                     91,                 1.2134,                0.75747,                 1.7934,                0.95124,                0.91063,                0.96097,                0.67303,                 1.1353,                0.55059,                 1.7241,                0.00703,                0.00703,                0.00703
                     92,                 1.2051,                0.74484,                 1.7794,                0.95528,                0.90461,                 0.9614,                0.67864,                 1.1203,                0.54747,                 1.7126,               0.006997,               0.006997,               0.006997
                     93,                 1.1981,                0.74145,                  1.774,                0.95156,                0.91227,                0.96294,                0.67468,                 1.1387,                0.55087,                 1.7329,               0.006964,               0.006964,               0.006964
                     94,                 1.2049,                0.74538,                  1.778,                0.95223,                0.90427,                0.95878,                0.67557,                  1.134,                0.56119,                 1.7179,               0.006931,               0.006931,               0.006931
                     95,                 1.2019,                0.73987,                 1.7743,                 0.9475,                0.91741,                0.96359,                0.67448,                 1.1179,                0.55065,                 1.6963,               0.006898,               0.006898,               0.006898
                     96,                 1.1953,                0.74016,                 1.7743,                0.94605,                0.91751,                 0.9606,                  0.672,                  1.151,                0.55161,                   1.73,               0.006865,               0.006865,               0.006865
                     97,                 1.1964,                0.73588,                 1.7693,                0.95882,                0.90094,                0.96345,                0.68752,                 1.1033,                0.54221,                 1.6986,               0.006832,               0.006832,               0.006832
                     98,                 1.2011,                0.73953,                 1.7728,                0.96605,                0.90277,                0.96321,                 0.6796,                  1.127,                0.53463,                 1.7087,               0.006799,               0.006799,               0.006799
                     99,                 1.1873,                0.73197,                 1.7589,                0.95878,                  0.912,                0.96477,                0.68395,                 1.1191,                0.53723,                 1.6984,               0.006766,               0.006766,               0.006766
                    100,                 1.1914,                0.73585,                 1.7658,                 0.9604,                0.91461,                0.96545,                0.68227,                 1.1209,                0.54135,                 1.7002,               0.006733,               0.006733,               0.006733
                    101,                 1.1851,                0.72696,                 1.7589,                0.95567,                0.90753,                0.96268,                 0.6937,                  1.074,                0.54195,                 1.6571,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.1835,                0.72867,                 1.7546,                0.94272,                0.91512,                0.96235,                0.67126,                 1.1496,                0.54742,                 1.7237,               0.006667,               0.006667,               0.006667
                    103,                 1.1812,                0.71992,                 1.7494,                0.95929,                0.90958,                0.96263,                0.67921,                 1.1151,                0.53976,                  1.694,               0.006634,               0.006634,               0.006634
                    104,                 1.1812,                0.71864,                 1.7522,                0.96312,                0.91305,                0.96765,                0.68446,                 1.0946,                0.52878,                 1.6867,               0.006601,               0.006601,               0.006601
